model,downsample_factor,latent_channels,latent_height,latent_width,latent_values_per_image,pixel_values_per_image,representation_ratio,mse_mean,mse_std,psnr_mean,psnr_std,ssim_mean,ssim_std,batch_runtime_sec_mean,images_per_second,num_images,paper_rfid,paper_psnr,paper_psim
kl-f4,4,3,64,64,12288,196608,0.0625,0.0007410066003406731,0.0005362505039764764,32.06748628616333,2.486524007091749,0.994568763311443,0.005609383012596398,0.2528142291121185,14.58396556758028,12,0.27,27.53,0.55
kl-f8,8,4,32,32,4096,196608,0.020833333333333332,0.0019933555886382237,0.0018964144968670945,28.32798894246419,3.277603822481032,0.984690430980769,0.019676046011248352,0.054653686781724296,65.94539050570458,12,0.9,24.19,1.02
kl-f16,16,16,16,16,4096,196608,0.020833333333333332,0.002362411512876861,0.0022063750751344148,27.476481596628826,3.1155733067312563,0.9820989334934929,0.023333526764277288,0.039376071033378444,90.2599007082395,12,0.87,24.08,1.07
